3/14/2018 10:22:25 AM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 10:38:14 AM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 10:48:04 AM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 11:41:16 AM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 11:41:40 AM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 11:46:46 AM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 12:12:31 PM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 12:20:40 PM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 12:39:21 PM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 12:58:25 PM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 2:03:49 PM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 2:16:44 PM ==> {"Message":"Recognised MTN Number","LogData":"XXX-XXXXXXXX"}
3/14/2018 3:14:56 PM ==> {"Message":"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)","LogData":"AppUserID: 1"}
3/14/2018 3:14:57 PM ==> {"Message":"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)","LogData":"AppUserID: 1"}
3/14/2018 6:21:45 PM ==> {"Message":"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)","LogData":"AppUserID: 1"}
3/14/2018 6:22:13 PM ==> {"Message":"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)","LogData":"AppUserID: 1"}
3/14/2018 6:22:23 PM ==> {"Message":"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)","LogData":"AppUserID: 1"}
3/14/2018 7:21:52 PM ==> {"Message":"Procedure or function 'ConfirmAppUserSubscription' expects parameter '@MSISDN', which was not supplied.","LogData":"AppUserID: 1"}
3/14/2018 7:23:03 PM ==> {"Message":"Procedure or function 'ConfirmAppUserSubscription' expects parameter '@MSISDN', which was not supplied.","LogData":"AppUserID: 1"}
3/14/2018 7:23:08 PM ==> {"Message":"Procedure or function 'ConfirmAppUserSubscription' expects parameter '@MSISDN', which was not supplied.","LogData":"AppUserID: 1"}
3/14/2018 7:23:42 PM ==> {"Message":"Procedure or function 'ConfirmAppUserSubscription' expects parameter '@MSISDN', which was not supplied.","LogData":"AppUserID: 1"}
3/14/2018 7:27:58 PM ==> {"Message":"Procedure or function 'ConfirmAppUserSubscription' expects parameter '@MSISDN', which was not supplied.","LogData":"AppUserID: 1"}
